Mã học viên,Ngày tháng năm sinh,Ngày đăng ký,Khóa học,Người đăng ký,Học phí,Thời lượng,Kết quả sau khi học,Điểm test đầu vào,Khuyến mãi (khoá tiếp theo)),"Số kỹ năng học viên muốn đăng ký(nghe, nói, đọc, viết)",Điểm test đầu ra,Mã giảng viên,Đánh giá giảng viên,Họ và tên giảng viên,Giới tính,Ngày sinh gv,Địa chỉ(quê quán gv),Số điện thoại gv,Quốc tịch giáo viên,Số kỹ năng khoá học
HV9,2002-05-26,2020-09-12,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Không đạt,5.3,8%,3,5.3,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV9,2002-05-26,2023-07-09,Ôn luyện THPTQG,Bản thân,1000000,tháng,Đạt,5.9,5%,3,8.4,GV06,2.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV10,2009-07-25,2021-12-11,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,7.5,8%,4,8.5,GV07,4.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV10,2009-07-25,2020-09-19,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.0,8%,2,9.0,GV05,5.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,2
HV11,1990-02-07,2023-04-01,B1,Bạn bè,1000000,tháng,Đạt,4.5,8%,4,8.3,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV11,1990-02-07,2021-11-20,IELTS Foundation,Bạn bè,10000000,25 buổi,Không đạt,5.2,15%,3,4.7,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,4
HV12,2012-06-25,2023-05-11,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.2,,2,4.0,GV06,2.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,2
HV13,2008-06-10,2021-12-17,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,5.1,5%,2,8.6,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV13,2008-06-10,2022-03-24,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.6,15%,4,8.9,GV09,4.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,2
HV14,2006-03-07,2023-12-27,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.2,15%,4,8.1,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV14,2006-03-07,2022-02-17,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,3.9,15%,2,8.6,GV02,5.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV15,2004-02-23,2020-09-21,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,5.3,15%,3,8.5,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV15,2004-02-23,2022-07-11,Ôn luyện THPTQG,Bạn bè,1000000,tháng,Đạt,6.3,,2,8.5,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV16,1992-11-06,2023-11-25,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,3.6,8%,4,8.4,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV16,1992-11-06,2022-07-06,Ôn luyện THPTQG,Bản thân,1000000,tháng,Đạt,7.3,5%,4,9.0,GV08,5.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV16,1992-11-06,2023-08-27,IELTS Foundation,Bạn bè,10000000,25 buổi,Đạt,5.1,15%,4,8.3,GV05,5.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV17,1999-08-05,2020-08-20,B1,Bản thân,1000000,tháng,Đạt,5.3,8%,2,8.4,GV01,2.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV18,1991-12-07,2020-03-24,IELTS Foundation,Bạn bè,10000000,25 buổi,Không đạt,5.4,,4,4.7,GV08,1.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV19,2008-08-24,2022-04-20,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,4.2,,4,8.2,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,2
HV19,2008-08-24,2022-11-12,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,3.9,8%,3,8.7,GV09,5.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV20,1997-12-04,2022-09-17,IELTS Intensive,Bạn bè,10000000,25 buổi,Đạt,5.1,,4,8.5,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV20,1997-12-04,2021-02-21,B1,Bạn bè,1000000,tháng,Đạt,5.2,15%,2,8.3,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV20,1997-12-04,2021-04-05,Ôn luyện THPTQG,Bản thân,1000000,tháng,Không đạt,5.6,,3,4.7,GV04,3.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV21,2015-12-12,2020-01-27,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,5.3,,4,8.7,GV05,2.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,2
HV22,1998-12-13,2023-10-08,Thuyết trình,Bản thân,3400000,24 buổi,Không đạt,4.0,,2,5.4,GV09,1.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV23,2013-06-28,2020-02-20,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,4.0,8%,2,5.6,GV09,2.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,2
HV24,2013-04-19,2023-05-25,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,4.9,8%,3,3.1,GV01,4.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV25,1999-03-06,2020-08-26,IELTS Foundation,Bạn bè,10000000,25 buổi,Không đạt,4.7,,3,5.4,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV26,2011-12-13,2022-11-21,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,5.1,8%,4,3.6,GV07,1.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV27,2015-03-15,2023-07-26,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,3.6,5%,4,4.4,GV07,2.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,2
HV28,2005-07-06,2023-09-02,Tiếng anh giao tiếp,Bạn bè,7200000,24 buổi,Không đạt,6.8,,2,3.7,GV02,2.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV29,2000-04-21,2021-06-02,IELTS Intensive,Bản thân,10000000,25 buổi,,4.9,8%,4,,GV04,4.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV29,2000-04-21,2022-08-23,Pre_IELTS,Bản thân,10000000,24 buổi,,6.1,15%,3,,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV30,1992-03-22,2023-11-17,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.5,15%,2,8.4,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV30,1992-03-22,2020-07-02,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,3.4,8%,3,8.3,GV09,4.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV30,1992-03-22,2022-03-23,B1,Bản thân,1000000,tháng,Đạt,3.7,15%,3,8.5,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV31,1993-01-11,2021-10-16,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,8.3,,3,8.6,GV09,1.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV32,1998-09-06,2021-07-20,B1,Bản thân,1000000,tháng,Không đạt,7.0,5%,4,4.2,GV04,3.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV33,1993-09-06,2022-10-11,Ôn luyện THPTQG,Bản thân,1000000,tháng,Đạt,6.8,8%,4,8.4,GV04,4.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV33,1993-09-06,2022-05-17,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,6.5,8%,2,8.2,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV34,2005-01-28,2023-08-06,B1,Bản thân,1000000,tháng,Đạt,6.2,,2,8.4,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV34,2005-01-28,2023-02-21,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,5.4,,3,7.8,GV04,4.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV35,2003-12-03,2023-02-10,IELTS Intensive,Bản thân,10000000,25 buổi,Không đạt,5.0,15%,2,6.7,GV07,4.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,4
HV35,2003-12-03,2022-12-24,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,4.4,15%,2,8.3,GV08,5.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV35,2003-12-03,2022-09-06,Thuyết trình,Bạn bè,3400000,24 buổi,Đạt,4.7,15%,2,8.5,GV07,5.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV36,2011-06-18,2022-07-03,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,4.1,5%,2,4.2,GV01,2.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV37,1999-02-01,2023-04-26,Thuyết trình,Bạn bè,3400000,24 buổi,Đạt,7.5,5%,4,8.4,GV08,5.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV37,1999-02-01,2023-01-20,Ôn luyện THPTQG,Bản thân,1000000,tháng,Không đạt,7.6,8%,4,4.9,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV38,1995-06-16,2020-07-10,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,6.7,5%,4,8.8,GV03,4.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV38,1995-06-16,2020-06-23,Ôn luyện THPTQG,Bản thân,1000000,tháng,Không đạt,4.0,8%,2,3.5,GV01,4.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV39,1993-07-04,2023-12-26,Thuyết trình,Bạn bè,3400000,24 buổi,Đạt,5.2,15%,3,8.9,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV39,1993-07-04,2023-04-22,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,5.3,8%,4,8.5,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV40,2015-04-16,2023-02-08,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,6.7,8%,3,6.5,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV41,2001-01-21,2021-07-13,Thuyết trình,Bạn bè,3400000,24 buổi,Không đạt,4.9,15%,4,5.1,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV41,2001-01-21,2021-12-21,IELTS Foundation,Bạn bè,10000000,25 buổi,Đạt,3.4,15%,4,8.3,GV02,3.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV42,2014-10-26,2021-08-03,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,7.1,5%,4,4.3,GV08,1.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,2
HV43,2012-05-07,2023-02-17,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,6.5,15%,3,8.3,GV01,2.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV44,2012-08-02,2020-01-02,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,6.4,15%,2,8.3,GV05,1.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,2
HV45,2007-03-03,2023-04-11,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,6.7,8%,2,8.8,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV45,2007-03-03,2023-10-23,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,4.3,8%,4,8.8,GV05,5.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV46,1999-10-04,2020-03-08,IELTS Foundation,Bạn bè,10000000,25 buổi,Đạt,5.8,15%,4,8.4,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,4
HV46,1999-10-04,2020-01-02,Ôn luyện THPTQG,Bản thân,1000000,tháng,Không đạt,4.7,,3,4.9,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV46,1999-10-04,2021-03-01,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.4,15%,3,8.6,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,3
HV47,2000-10-22,2023-08-17,IELTS Intensive,Bạn bè,10000000,25 buổi,Đạt,5.8,15%,2,8.6,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV47,2000-10-22,2022-03-25,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,6.2,15%,3,8.4,GV02,5.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV47,2000-10-22,2021-10-14,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.7,15%,3,8.5,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV48,2000-06-11,2023-05-22,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.5,5%,3,8.2,GV07,4.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV48,2000-06-11,2022-01-27,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,3.7,15%,2,8.5,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV49,2002-11-08,2023-01-19,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Không đạt,6.3,15%,2,4.0,GV02,5.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV49,2002-11-08,2022-09-14,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,6.4,8%,3,8.3,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV49,2002-11-08,2021-08-19,B1,Bản thân,1000000,tháng,Đạt,5.1,8%,4,8.3,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV50,2013-01-23,2023-08-21,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,4.5,8%,3,8.3,GV05,3.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
